0, 34
0, 51
0, 44
0, 52
0, 54
0, 31
0, 32
0, 49
0, 57
0, 36
0, 59
0, 35
0, 41
0, 38
0, 37
0, 50
1, 46
1, 43
2, 33
2, 53
2, 42
3, 34
3, 51
3, 44
3, 31
3, 32
3, 49
4, 34
4, 51
4, 44
4, 52
4, 54
4, 47
4, 31
4, 32
4, 49
4, 57
4, 36
4, 59
5, 46
5, 43
6, 46
6, 43
6, 55
7, 40
8, 32
8, 56
8, 58
9, 43
10, 34
10, 51
10, 44
10, 52
10, 54
10, 47
10, 40
10, 39
10, 31
10, 32
11, 30
11, 45
12, 41
12, 38
12, 37
12, 55
12, 33
12, 53
12, 42
13, 51
13, 44
13, 52
13, 54
14, 55
14, 50
14, 60
15, 34
15, 51
15, 44
15, 52
15, 54
15, 48
15, 31
15, 32
15, 49
15, 57
15, 36
15, 59
16, 48
17, 30
17, 45
18, 34
18, 51
18, 44
18, 52
18, 54
18, 31
18, 32
18, 49
19, 51
19, 44
19, 52
19, 54
19, 47
19, 40
19, 39
20, 55
21, 46
21, 43
22, 55
22, 33
22, 53
22, 50
22, 60
23, 35
23, 41
23, 38
23, 37
23, 55
23, 33
23, 53
23, 42
24, 34
24, 51
24, 44
25, 55
26, 55
27, 35
28, 35
29, 34
29, 51
29, 44
29, 31
29, 56
29, 58
